CatBoost_ensembles,TN,FP,FN,TP,LogLoss,Precision,Recall,Specificity,NPV,F1-score,P4-score
CB_Logloss_Newton_Balanced_AUC_Plain_Bernoulli_2_LG_Cosine_lft,674.0,45.0,13.0,303.0,2.0198375812258886,0.87069,0.958861,0.937413,0.018923,0.912651,0.935132
CB_CrossEntr_Newton_None_BalAcc_Plain_Bernoulli_2_ST_L2_lft,697.0,22.0,44.0,272.0,2.2984358682915285,0.92517,0.860759,0.969402,0.059379,0.891803,0.922225
CB_Logloss_Newton_Balanced_CrossEntr_Plain_MVS_5_LG_L2_lft,692.0,27.0,10.0,306.0,1.2885170776785844,0.918919,0.968354,0.962448,0.014245,0.942989,0.958225
CB_Logloss_Newton_None_BalErrRate_Plain_No_2_DW_Cosine_lft,703.0,16.0,38.0,278.0,1.8805384376930687,0.945578,0.879747,0.977747,0.051282,0.911475,0.936536
CB_Logloss_Gradient_Balanced_PRAUC_Plain_Bernoulli_2_LG_L2_lft,678.0,41.0,15.0,301.0,1.950188009459479,0.880117,0.952532,0.942976,0.021645,0.914894,0.937066
CB_Logloss_Gradient_None_MCC_Ordered_No_5_ST_L2_lft,702.0,17.0,26.0,290.0,1.4974657929778141,0.944625,0.917722,0.976356,0.035714,0.930979,0.950225
CB_CrossEntr_Newton_None_LogLikeOfPred_Plain_No_2_ST_Cosine_lft,699.0,20.0,40.0,276.0,2.0894871529922985,0.932432,0.873418,0.972184,0.054127,0.901961,0.929535
CB_Logloss_Gradient_Balanced_AUC_Plain_No_7_ST_L2_lft,688.0,31.0,13.0,303.0,1.5322905788610188,0.907186,0.958861,0.956885,0.018545,0.932308,0.950307
CB_Logloss_Newton_SqrtBalanced_MCC_Ordered_MVS_2_ST_L2_lft,687.0,32.0,20.0,296.0,1.810888865926659,0.902439,0.936709,0.955494,0.028289,0.919255,0.940874
CB_Logloss_Newton_SqrtBalanced_F1_Plain_MVS_2_ST_Cosine_lft,688.0,31.0,23.0,293.0,1.880538437693069,0.904321,0.927215,0.956885,0.032349,0.915625,0.938353
CB_Logloss_Newton_None_F1_Plain_MVS_2_LG_L2_lft,701.0,18.0,34.0,282.0,1.8108888659266589,0.94,0.892405,0.974965,0.046259,0.915584,0.939281
CB_Logloss_Newton_None_BalAcc_Plain_MVS_5_ST_L2_lft,702.0,17.0,24.0,292.0,1.427816221211404,0.944984,0.924051,0.976356,0.033058,0.9344,0.95265
CB_CrossEntr_Newton_None_BalErrRate_Plain_MVS_2_ST_L2_lft,700.0,19.0,37.0,279.0,1.950188009459479,0.936242,0.882911,0.973574,0.050204,0.908795,0.934423
CB_CrossEntr_Gradient_None_MCC_Ordered_MVS_7_ST_Cosine_lft,705.0,14.0,23.0,293.0,1.2885170776785844,0.954397,0.927215,0.980529,0.031593,0.94061,0.957221
CB_Logloss_Gradient_Balanced_Logloss_Ordered_MVS_7_ST_Cosine_lft,683.0,36.0,13.0,303.0,1.706414508277044,0.893805,0.958861,0.94993,0.018678,0.925191,0.944854
CB_Logloss_Newton_None_Logloss_Plain_Bayesian_5_LG_L2_lft,706.0,13.0,29.0,287.0,1.4626410070946092,0.956667,0.908228,0.981919,0.039456,0.931818,0.95106
CB_Logloss_Gradient_None_CrossEntr_Ordered_Bayesian_7_ST_L2_lft,703.0,16.0,24.0,292.0,1.3929914353281991,0.948052,0.924051,0.977747,0.033012,0.935897,0.95377
CB_CrossEntr_Newton_None_MCC_Plain_Bernoulli_2_DW_L2_lft,701.0,18.0,46.0,270.0,2.2287862965251186,0.9375,0.85443,0.974965,0.06158,0.89404,0.924143
CB_Logloss_Gradient_Balanced_CrossEntr_Plain_Bernoulli_5_ST_Cosine_lft,683.0,36.0,11.0,305.0,1.636764936510634,0.894428,0.96519,0.94993,0.01585,0.928463,0.947214
CB_Logloss_Newton_None_BalErrRate_Plain_No_5_DW_L2_lft,704.0,15.0,28.0,288.0,1.4974657929778141,0.950495,0.911392,0.979138,0.038251,0.930533,0.950032
