Ensembles,TN,FP,FN,TP,LogLoss,Precision,Recall,Specificity,NPV,F1-score,P4-score
AdaBoostClassifier_dt_3,695.0,24.0,32.0,284.0,1.9501880094594788,0.922078,0.898734,0.96662,0.044017,0.910256,0.935069
AdaBoostClassifier_dt_7,699.0,20.0,25.0,291.0,1.567115364744224,0.935691,0.920886,0.972184,0.03453,0.92823,0.948088
AdaBoostClassifier_dt_11,706.0,13.0,32.0,284.0,1.5671153647442242,0.956229,0.898734,0.981919,0.04336,0.926591,0.947376
AdaBoostClassifier_gnb,673.0,46.0,31.0,285.0,2.6815085130067837,0.861027,0.901899,0.936022,0.044034,0.880989,0.912286
BaggingClassifier_dt_3,684.0,35.0,150.0,166.0,6.442585388392921,0.825871,0.525316,0.951321,0.179856,0.642166,0.742814
BaggingClassifier_dt_7,694.0,25.0,105.0,211.0,4.527222164816647,0.894068,0.667722,0.965229,0.131414,0.764493,0.832738
BaggingClassifier_dt_11,695.0,24.0,76.0,240.0,3.482478588320498,0.909091,0.759494,0.96662,0.098573,0.827586,0.877087
BaggingClassifier_gnb,671.0,48.0,28.0,288.0,2.646683727123578,0.857143,0.911392,0.933241,0.040057,0.883436,0.913836
ExtraTreesClassifier_g_3,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
ExtraTreesClassifier_g_7,719.0,0.0,304.0,12.0,10.586734908494313,1.0,0.037975,1.0,0.297165,0.073171,0.134426
ExtraTreesClassifier_g_11,719.0,0.0,269.0,47.0,9.36786740258214,1.0,0.148734,1.0,0.272267,0.258953,0.396136
ExtraTreesClassifier_e_3,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
ExtraTreesClassifier_e_7,719.0,0.0,308.0,8.0,10.726034052027135,1.0,0.025316,1.0,0.299903,0.049383,0.093178
ExtraTreesClassifier_e_11,719.0,0.0,272.0,44.0,9.472341760231755,1.0,0.139241,1.0,0.27447,0.244444,0.378784
ExtraTreesClassifier_ll_3,719.0,0.0,316.0,0.0,11.004632339092772,0.0,0.0,1.0,0.305314,0.0,0.0
ExtraTreesClassifier_ll_7,719.0,0.0,308.0,8.0,10.726034052027135,1.0,0.025316,1.0,0.299903,0.049383,0.093178
ExtraTreesClassifier_ll_11,719.0,0.0,272.0,44.0,9.472341760231755,1.0,0.139241,1.0,0.27447,0.244444,0.378784
GradientBoostingClassifier_ll_fmse_3,700.0,19.0,66.0,250.0,2.960106800072423,0.929368,0.791139,0.973574,0.086162,0.854701,0.896574
GradientBoostingClassifier_ll_fmse_7,702.0,17.0,46.0,270.0,2.193961510641914,0.940767,0.85443,0.976356,0.061497,0.895522,0.925267
GradientBoostingClassifier_ll_fmse_11,694.0,25.0,49.0,267.0,2.5770341553571683,0.914384,0.844937,0.965229,0.065949,0.878289,0.912454
GradientBoostingClassifier_ll_se_3,700.0,19.0,66.0,250.0,2.960106800072423,0.929368,0.791139,0.973574,0.086162,0.854701,0.896574
GradientBoostingClassifier_ll_se_7,702.0,17.0,44.0,272.0,2.124311938875504,0.941176,0.860759,0.976356,0.058981,0.899174,0.927825
GradientBoostingClassifier_ll_se_11,699.0,20.0,48.0,268.0,2.3680854400579388,0.930556,0.848101,0.972184,0.064257,0.887417,0.919326
GradientBoostingClassifier_e_fmse_3,697.0,22.0,76.0,240.0,3.412829016554088,0.916031,0.759494,0.969402,0.098318,0.83045,0.879327
GradientBoostingClassifier_e_fmse_7,699.0,20.0,46.0,270.0,2.2984358682915285,0.931034,0.85443,0.972184,0.061745,0.891089,0.9219
GradientBoostingClassifier_e_fmse_11,701.0,18.0,47.0,269.0,2.2636110824083233,0.937282,0.851266,0.974965,0.062834,0.892206,0.922858
GradientBoostingClassifier_e_se_3,697.0,22.0,76.0,240.0,3.412829016554088,0.916031,0.759494,0.969402,0.098318,0.83045,0.879327
GradientBoostingClassifier_e_se_7,699.0,20.0,46.0,270.0,2.2984358682915285,0.931034,0.85443,0.972184,0.061745,0.891089,0.9219
GradientBoostingClassifier_e_se_11,698.0,21.0,49.0,267.0,2.4377350118243486,0.927083,0.844937,0.970793,0.065596,0.884106,0.916914
HistGradientBoostingClassifier_3_0,663.0,56.0,18.0,298.0,2.5770341553571687,0.841808,0.943038,0.922114,0.026432,0.889552,0.917445
HistGradientBoostingClassifier_7_0,683.0,36.0,18.0,298.0,1.8805384376930687,0.892216,0.943038,0.94993,0.025678,0.916923,0.938907
HistGradientBoostingClassifier_11_0,692.0,27.0,17.0,299.0,1.5322905788610188,0.917178,0.946203,0.962448,0.023977,0.931464,0.949952
HistGradientBoostingClassifier_3_1,664.0,55.0,18.0,298.0,2.542209369473963,0.844193,0.943038,0.923505,0.026393,0.890882,0.918504
HistGradientBoostingClassifier_7_1,683.0,36.0,18.0,298.0,1.8805384376930687,0.892216,0.943038,0.94993,0.025678,0.916923,0.938907
HistGradientBoostingClassifier_11_1,689.0,30.0,22.0,294.0,1.8108888659266589,0.907407,0.93038,0.958275,0.030942,0.91875,0.940658
HistGradientBoostingClassifier_3_5,658.0,61.0,18.0,298.0,2.751158084773193,0.830084,0.943038,0.91516,0.026627,0.882963,0.912167
HistGradientBoostingClassifier_7_5,683.0,36.0,20.0,296.0,1.950188009459479,0.891566,0.936709,0.94993,0.02845,0.91358,0.936509
HistGradientBoostingClassifier_11_5,686.0,33.0,26.0,290.0,2.054662367109094,0.897833,0.917722,0.954103,0.036517,0.907668,0.93252
RandomForestClassifier_g_3,647.0,72.0,43.0,273.0,4.004850376568572,0.791304,0.863924,0.899861,0.062319,0.826021,0.869756
RandomForestClassifier_g_7,669.0,50.0,27.0,289.0,2.6815085130067837,0.852507,0.914557,0.930459,0.038793,0.882443,0.912922
RandomForestClassifier_g_11,683.0,36.0,22.0,294.0,2.0198375812258886,0.890909,0.93038,0.94993,0.031206,0.910217,0.9341
RandomForestClassifier_e_3,645.0,74.0,44.0,272.0,4.109324734218188,0.786127,0.860759,0.897079,0.063861,0.821752,0.866407
RandomForestClassifier_e_7,669.0,50.0,26.0,290.0,2.6466837271235786,0.852941,0.917722,0.930459,0.03741,0.884146,0.914145
RandomForestClassifier_e_11,686.0,33.0,29.0,287.0,2.1591367247587088,0.896875,0.908228,0.954103,0.040559,0.902516,0.928849
RandomForestClassifier_ll_3,645.0,74.0,44.0,272.0,4.109324734218188,0.786127,0.860759,0.897079,0.063861,0.821752,0.866407
RandomForestClassifier_ll_7,669.0,50.0,26.0,290.0,2.6466837271235786,0.852941,0.917722,0.930459,0.03741,0.884146,0.914145
RandomForestClassifier_ll_11,686.0,33.0,29.0,287.0,2.1591367247587088,0.896875,0.908228,0.954103,0.040559,0.902516,0.928849
